,Anyang,Hebi,Zhoukou,Zhumadian,Handan,Jincheng,Yuncheng,Jiyuan,Kaifeng,Sanmenxia,Shangqiu,Bengbu,Huaibei,Suzhou,Heze,Liaocheng,Jiaozuo,Luoyang,Nanyang,Pingdingshan,Xinyang,Xuchang,Zhengzhou,Bozhou,Xingtai,Changzhi,Puyang,Xinxiang,Fuyang
2000,,,,,19.6219,,,,3.61,6.10363,3.0654,,,,1.89327,,,15.3083,4.66817,23.5954,,,4.98902,,,,,,
2001,14.9703,,,,19.9885,,,12.1687,,6.01149,,,13.4773,,2.55108,,,14.9713,4.30723,19.4509,,,4.50995,,,,,,
2002,,,3.39614,,20.0788,,,10.9324,,5.47696,,,12.5038,,5.5279,,,13.3169,4.12889,17.9996,,,4.12601,,,,,,
2003,12.5249,,1.96452,,18.918,11.1772,,11.8864,2.7862,5.64044,,,,,4.43463,,,12.1535,5.25708,12.863,,,3.95858,,,,,,
2004,15.5281,6.21731,,,13.2792,13.5119,,,,5.92853,11.6696,,11.4772,,4.05383,,6.32533,11.7653,3.96603,18.4282,,,4.2005,,,29.0162,6.32533,,
2005,,,3.53605,,11.0906,13.2228,,13.3022,,5.56253,,1.32733,,,6.47091,,,10.431,3.82201,15.5127,,7.80303,4.09518,,,30.4472,,,
2006,,14.1272,2.48214,,10.5698,26.2719,24.0042,12.7609,2.85286,6.21113,10.4093,,12.7555,,7.04964,3.67161,,10.2684,3.58532,14.832,4.33696,8.00151,3.67247,0.9304,,,,,
2007,13.9782,14.4305,2.52011,3.5984,9.57358,26.153,18.3426,11.9765,2.98447,6.46366,7.30746,,12.2485,3.73695,6.21198,3.63451,,9.75866,,21.9388,,6.86497,3.49414,1.38119,16.2774,35.1082,,3.88525,
2008,11.7373,15.8758,2.05348,3.81816,8.20298,20.8491,22.2658,10.2497,2.117,5.57395,9.83945,1.7155,11.3797,4.09309,5.82573,4.09206,,8.43156,,18.4897,4.08128,,2.93092,1.93594,13.8508,28.5528,,4.40646,3.12427
2009,9.74919,15.7114,2.04425,3.24321,7.88152,19.6675,21.4647,11.76,2.72716,4.80124,,2.75895,15.5781,3.87815,5.23483,3.44578,3.4018,7.95924,,19.3051,4.8699,6.20837,2.60749,1.6436,13.553,27.1519,3.4018,4.44362,2.11802
2010,,12.9249,1.50739,2.44804,7.02096,11.8217,16.3538,10.5866,2.30564,3.91607,6.09,2.46505,15.7725,4.28223,5.13473,,3.26071,7.43029,3.0155,18.6094,3.8906,5.45108,2.45043,1.53167,12.4619,25.3879,3.26071,4.27198,1.93954
2011,8.41626,12.2901,1.42246,3.00856,8.29776,15.7093,,,1.99878,3.92999,,2.49338,17.1626,4.15683,5.06689,,3.01721,7.21354,2.81227,20.4674,3.50009,8.21653,2.27773,1.52967,12.4825,25.2999,3.01721,3.21671,
2012,7.86645,10.6787,,2.01902,7.66609,,14.9047,9.99608,1.87642,3.39878,,2.05914,16.7082,4.42398,4.28304,,2.75952,6.38175,2.63371,20.0409,3.17337,,2.16156,1.80089,11.1912,24.2393,2.75952,2.87953,1.88325
2013,8.76375,9.76312,0.63026,2.59319,7.7376,13.8637,12.4336,10.1706,1.72519,3.53644,,1.84436,14.7498,4.48851,4.98396,,2.29014,5.87096,2.27195,18.9676,2.6233,4.61721,2.06649,2.21484,10.3121,25.1658,2.29014,2.70699,1.715
2014,9.84929,5.97322,0.53201,2.37891,8.58877,22.7685,8.89529,9.85463,1.63647,3.16418,,1.70317,13.4024,4.6491,6.13217,,1.80255,5.39806,2.0534,16.9857,2.53368,,1.89521,1.76721,8.10968,31.6388,1.80255,2.56679,1.44689
2015,8.24348,7.40782,0.50211,2.48027,8.37365,21.3785,13.4773,10.3825,,3.15758,,1.6177,14.1071,3.8975,,4.26342,2.05283,4.45321,1.82254,14.8161,2.12648,,1.29439,1.49761,7.67117,34.028,2.05283,2.92398,1.33574